dataset,n_qubits,seed,k,arm,accuracy,balanced,f1
EColi,6,3,128,random_all,0.9122203098106713,0.7836032388663968,0.6721152317854319
EColi,6,4,8,spectral,0.8812392426850258,0.7059745528305366,0.5369127516778524
EColi,6,4,8,random_live,0.8537005163511188,0.559054029135165,0.2099409763905562
EColi,6,4,8,random_all,0.848881239242685,0.5291420800295039,0.11925097411983868
EColi,6,4,16,spectral,0.8709122203098106,0.7045569795316245,0.5222929936305732
EColi,6,4,16,random_live,0.8674698795180722,0.6259796238244514,0.38589724656380275
EColi,6,4,16,random_all,0.8454388984509468,0.527113682463581,0.11658959296164209
EColi,6,4,32,spectral,0.9053356282271945,0.7901876267748479,0.6666666666666666
EColi,6,4,32,random_live,0.8925989672977626,0.747208648349622,0.60170910592357
EColi,6,4,32,random_all,0.8777969018932874,0.6824751060298728,0.4971555534555453
EColi,6,4,64,spectral,0.9053356282271945,0.7761847685782777,0.6540880503144654
EColi,6,4,64,random_live,0.9111876075731498,0.8095058085930298,0.6935631240548223
EColi,6,4,64,random_all,0.89776247848537,0.7605200073759912,0.6259093121255788
EColi,6,4,128,spectral,0.9087779690189329,0.7922160243407708,0.6748466257668712
EColi,6,4,128,random_live,0.9043029259896731,0.8110501567398118,0.682022543207815
EColi,6,4,128,random_all,0.9053356282271945,0.7976558178130185,0.6742527743053957
20News,4,0,8,spectral,0.7272727272727273,0.7152435610302352,0.7699530516431925
20News,4,0,8,random_live,0.6408163265306122,0.6239179731243001,0.70423567530756
20News,4,0,8,random_all,0.5766233766233766,0.5442161254199328,0.6793245697081515
20News,4,0,16,spectral,0.7717996289424861,0.7605123180291153,0.8075117370892019
20News,4,0,16,random_live,0.6467532467532467,0.6302435610302352,0.7081620359482622
20News,4,0,16,random_all,0.6000000000000001,0.5800069988801793,0.6753102656206913
20News,4,0,32,spectral,0.7699443413729128,0.7627309630459127,0.8006430868167203
20News,4,0,32,random_live,0.6983302411873841,0.6903583426651736,0.7378127640145351
20News,4,0,32,random_all,0.6374768089053804,0.6247242441209406,0.6924272273820622
20News,4,0,64,spectral,0.7866419294990723,0.7818798992161253,0.8123980424143556
20News,4,0,64,random_live,0.7358070500927643,0.7293770996640537,0.7689523112735109
20News,4,0,64,random_all,0.7020408163265307,0.692778555431131,0.7433645489088871
20News,4,0,128,spectral,0.7922077922077922,0.7882628779395296,0.8163934426229508
20News,4,0,128,random_live,0.7747680890538033,0.7707740761478163,0.8006453151857625
20News,4,0,128,random_all,0.7254174397031539,0.7207460806270997,0.7566022859249756
20News,4,1,8,spectral,0.686456400742115,0.6734288987621203,0.7363494539781591
20News,4,1,8,random_live,0.5996289424860853,0.5810517785788136,0.6728872199609447
20News,4,1,8,random_all,0.5810760667903525,0.5539609355352502,0.6757852170467483
20News,4,1,16,spectral,0.7291280148423006,0.7183195014949563,0.7697160883280757
20News,4,1,16,random_live,0.6564007421150279,0.6426118422890994,0.7115539908857987
20News,4,1,16,random_all,0.6166975881261595,0.5987355743705816,0.6861221510814305
20News,4,1,32,spectral,0.7402597402597403,0.7346103333612765,0.7712418300653595
20News,4,1,32,random_live,0.6827458256029685,0.6737502445021935,0.7253531482385959
20News,4,1,32,random_all,0.6311688311688312,0.6201861010981642,0.6837447002965609
20News,4,1,64,spectral,0.7476808905380334,0.7403246989130131,0.7806451612903226
20News,4,1,64,random_live,0.715769944341373,0.7068530471959091,0.7547959577904862
20News,4,1,64,random_all,0.6871985157699443,0.6774513091346018,0.7308858018866123
20News,4,1,128,spectral,0.7569573283858998,0.7513272976220415,0.7862969004893964
20News,4,1,128,random_live,0.7554730983302413,0.7487313829044066,0.7866697947646253
20News,4,1,128,random_all,0.7272727272727273,0.7193883253695476,0.7633347243162756
20News,4,2,8,spectral,0.725417439703154,0.715821910080668,0.7658227848101266
20News,4,2,8,random_live,0.6144712430426715,0.5959186551587974,0.6823324249149072
20News,4,2,8,random_all,0.5684601113172543,0.5318172843684774,0.6731234746296273
20News,4,2,16,spectral,0.7365491651205937,0.7319061318892086,0.7694805194805194
