dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,spectral,32,0.05,1000.0,2.75,1.212483893429821,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.05,10000.0,2.75,1.212483893429821,0.843201581027668,0.7397260273972602
EColi,0,spectral,32,0.05,inf,2.75,1.212483893429821,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.1,1000.0,2.75,1.5008184237246593,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.1,10000.0,2.75,1.5008184237246593,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.1,inf,2.75,1.5008184237246593,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.2,1000.0,2.75,2.483471074380165,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.2,10000.0,2.75,2.483471074380165,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.2,inf,2.75,2.483471074380165,0.863201581027668,0.7651006711409396
EColi,0,spectral,64,0.0,1000.0,2.953125,1.0,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.0,10000.0,2.953125,1.0,0.8365349143610012,0.7310344827586207
EColi,0,spectral,64,0.0,inf,2.953125,1.0,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.01,1000.0,2.953125,1.040527789522385,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.01,10000.0,2.953125,1.040527789522385,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.01,inf,2.953125,1.040527789522385,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.05,1000.0,2.953125,1.2288096919252394,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.05,10000.0,2.953125,1.2288096919252394,0.8318445322793149,0.7323943661971831
EColi,0,spectral,64,0.05,inf,2.953125,1.2288096919252394,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.1,1000.0,2.953125,1.5408391250306361,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.1,10000.0,2.953125,1.5408391250306361,0.8471541501976285,0.7605633802816901
EColi,0,spectral,64,0.1,inf,2.953125,1.5408391250306361,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.2,1000.0,2.953125,2.61132692439041,0.8308563899868248,0.7272727272727273
EColi,0,spectral,64,0.2,10000.0,2.953125,2.61132692439041,0.8375230566534915,0.7361111111111112
EColi,0,spectral,64,0.2,inf,2.953125,2.61132692439041,0.8308563899868248,0.7272727272727273
EColi,0,spectral,128,0.0,1000.0,2.9453125,1.0,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.0,10000.0,2.9453125,1.0,0.8404874835309618,0.75177304964539
EColi,0,spectral,128,0.0,inf,2.9453125,1.0,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.01,1000.0,2.9453125,1.040406230962314,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.01,10000.0,2.9453125,1.040406230962314,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.01,inf,2.9453125,1.040406230962314,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.05,1000.0,2.9453125,1.2277692725687213,0.8548089591567852,0.7746478873239436
