dataset,seed,k,p,C,mean_weight,coef_norm,balanced,f1
EColi,1,4,0.3,0.1,1.75,1.8352115347358466,0.5,0.0
EColi,1,4,0.3,1.0,1.75,4.020460415331108,0.5849422931722575,0.2786885245901639
EColi,1,8,0.0,0.01,2.0,0.9481526040062698,0.5,0.0
EColi,1,8,0.0,0.1,2.0,2.0164324178743778,0.700477294790206,0.5161290322580645
EColi,1,8,0.0,1.0,2.0,3.3663289909813257,0.7895183906806169,0.656934306569343
EColi,1,8,0.05,0.01,2.0,0.9390417910836423,0.5,0.0
EColi,1,8,0.05,0.1,2.0,2.0657064190056107,0.6877629166217236,0.49586776859504134
EColi,1,8,0.05,1.0,2.0,3.4939162805473565,0.788534138712113,0.6521739130434783
EColi,1,8,0.1,0.01,2.0,0.9243539338114557,0.5,0.0
EColi,1,8,0.1,0.1,2.0,2.112853444599577,0.6721362312587639,0.4778761061946903
EColi,1,8,0.1,1.0,2.0,3.761541332734642,0.7816848236436198,0.6423357664233577
EColi,1,8,0.2,0.01,2.0,0.8999386833492684,0.5,0.0
EColi,1,8,0.2,0.1,2.0,2.1337467877861465,0.6232472225218423,0.3838383838383838
EColi,1,8,0.2,1.0,2.0,4.363922778398312,0.7816848236436198,0.6423357664233577
EColi,1,8,0.3,0.01,2.0,0.8832761906348584,0.5,0.0
EColi,1,8,0.3,0.1,2.0,2.0381908784396225,0.5332623233739618,0.12658227848101267
EColi,1,8,0.3,1.0,2.0,4.887171636985923,0.7552718153381512,0.6060606060606061
EColi,1,16,0.0,0.01,2.3125,0.9696629238175518,0.5195636932369755,0.07792207792207792
EColi,1,16,0.0,0.1,2.3125,2.2142966556191714,0.7719232013806493,0.6412213740458015
EColi,1,16,0.0,1.0,2.3125,4.661965530689422,0.8100663358860964,0.6857142857142857
EColi,1,16,0.05,0.01,2.3125,0.9609760491936313,0.5,0.0
EColi,1,16,0.05,0.1,2.3125,2.2482764644691455,0.7513752561751699,0.609375
EColi,1,16,0.05,1.0,2.3125,4.896718078379515,0.8110505878546004,0.6906474820143885
EColi,1,16,0.1,0.01,2.3125,0.9459968624491476,0.5,0.0
EColi,1,16,0.1,0.1,2.3125,2.275371263008918,0.7386608780066876,0.592
EColi,1,16,0.1,1.0,2.3125,5.110254917945749,0.8110505878546004,0.6906474820143885
EColi,1,16,0.2,0.01,2.3125,0.9112679441375992,0.5,0.0
EColi,1,16,0.2,0.1,2.3125,2.256260287414426,0.6721362312587639,0.4778761061946903
EColi,1,16,0.2,1.0,2.3125,5.512059331845181,0.8042012727861072,0.6811594202898551
EColi,1,16,0.3,0.01,2.3125,0.8847569169967482,0.5,0.0
EColi,1,16,0.3,0.1,2.3125,2.1066149194889774,0.5469609535109481,0.1728395061728395
EColi,1,16,0.3,1.0,2.3125,5.857873329064137,0.7768040125121346,0.6417910447761194
EColi,1,32,0.0,0.01,2.4375,1.0155691093321806,0.5791985762053716,0.2708333333333333
EColi,1,32,0.0,0.1,2.4375,2.0835769181508894,0.798336209686118,0.6764705882352942
