dataset,n_qubits,seed,k,arm,budget,shots_per_obs,dead_in_basis,wasted_shots,mean_abs_est_error,accuracy,balanced,f1
EColi,4,2,16,spectral,10000.0,625.0,0,0,0.029346028182464345,0.919104991394148,0.8015180265654649,0.6967741935483871
EColi,4,2,16,spectral,100000.0,6250.0,0,0,0.007786542607324878,0.919104991394148,0.8015180265654649,0.6967741935483871
EColi,4,2,16,spectral,inf,inf,0,0,0.0,0.919104991394148,0.8015180265654649,0.6967741935483871
EColi,4,2,16,random_live,1000.0,62.0,0,0,0.11658221077840933,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,16,random_live,10000.0,625.0,0,0,0.02738350628728641,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,16,random_live,100000.0,6250.0,0,0,0.009362804420730255,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,16,random_live,inf,inf,0,0,0.0,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,16,random_all,1000.0,62.0,10,620,0.06971080501295329,0.8950086058519794,0.660673624288425,0.47863247863247865
EColi,4,2,16,random_all,10000.0,625.0,10,6250,0.024348817032275778,0.8950086058519794,0.660673624288425,0.47863247863247865
EColi,4,2,16,random_all,100000.0,6250.0,10,62500,0.00886183708176838,0.8950086058519794,0.660673624288425,0.47863247863247865
EColi,4,2,16,random_all,inf,inf,10,0,0.0,0.8950086058519794,0.660673624288425,0.47863247863247865
EColi,4,2,32,spectral,1000.0,31.0,0,0,0.12933542458992184,0.9259896729776248,0.7909274193548387,0.7034482758620689
EColi,4,2,32,spectral,10000.0,312.0,0,0,0.04160610328546908,0.9259896729776248,0.7909274193548387,0.7034482758620689
EColi,4,2,32,spectral,100000.0,3125.0,0,0,0.014332322558117895,0.9259896729776248,0.7909274193548387,0.7034482758620689
EColi,4,2,32,spectral,inf,inf,0,0,0.0,0.9259896729776248,0.7909274193548387,0.7034482758620689
EColi,4,2,32,random_live,1000.0,31.0,0,0,0.1413944642435719,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,32,random_live,10000.0,312.0,0,0,0.04232850677559015,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,32,random_live,100000.0,3125.0,0,0,0.01354012245129227,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,32,random_live,inf,inf,0,0,0.0,0.9311531841652324,0.7988259013282732,0.7222222222222222
EColi,4,2,32,random_all,1000.0,31.0,14,434,0.16587118148265234,0.919104991394148,0.7673980075901328,0.6666666666666666
EColi,4,2,32,random_all,10000.0,312.0,14,4368,0.045167626859492944,0.9036144578313253,0.7095825426944972,0.5692307692307692
EColi,4,2,32,random_all,100000.0,3125.0,14,43750,0.013189551590158857,0.919104991394148,0.7673980075901328,0.6666666666666666
EColi,4,2,32,random_all,inf,inf,14,0,0.0,0.919104991394148,0.7673980075901328,0.6666666666666666
EColi,4,2,64,spectral,1000.0,15.0,0,0,0.2078245716306167,0.919104991394148,0.7722722960151802,0.6713286713286714
