train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.0,0.0,0.5,0.5,EColi,4,3,spectral,2,136,1354,0.0014771048744460858,0.0,0.0
0.2627118644067797,0.3275862068965517,0.5755990598486586,0.599073944808972,EColi,4,3,spectral,3,136,1354,0.0022156573116691287,-0.06487434248977203,-0.02347488496031347
0.36947791164658633,0.4153846153846154,0.6185842314453871,0.6389780818092978,EColi,4,3,spectral,4,136,1354,0.0029542097488921715,-0.045906703738029075,-0.020393850363910726
0.6687306501547987,0.6585365853658537,0.7876394939998472,0.7870654753594862,EColi,4,3,spectral,6,136,1354,0.004431314623338257,0.010194064788945023,0.0005740186403609959
0.7151898734177216,0.6753246753246753,0.8067864786363983,0.7836683884778259,EColi,4,3,spectral,8,136,1354,0.005908419497784343,0.03986519809304623,0.023118090158572357
0.7244582043343654,0.6878980891719745,0.8167469234884965,0.7941504956024013,EColi,4,3,spectral,12,136,1354,0.008862629246676515,0.03656011516239088,0.022596427886095283
0.7210031347962382,0.6751592356687898,0.8119792860964611,0.7873912234166318,EColi,4,3,spectral,16,136,1354,0.011816838995568686,0.04584389912744846,0.02458806267982927
0.7142857142857143,0.6709677419354839,0.8107037758923794,0.782656242728838,EColi,4,3,spectral,24,136,1354,0.01772525849335303,0.04331797235023038,0.02804753316354136
0.7323076923076923,0.6751592356687898,0.8223649010165863,0.7873912234166318,EColi,4,3,spectral,32,136,1354,0.023633677991137372,0.057148456638902556,0.03497367759995451
0.7537993920972644,0.7073170731707317,0.8368350149048384,0.8141025641025641,EColi,4,3,spectral,48,136,1354,0.03545051698670606,0.04648231892653276,0.022732450802274262
0.78125,0.6878980891719745,0.8438957043491554,0.7941504956024013,EColi,4,3,spectral,64,136,1354,0.047267355982274745,0.09335191082802552,0.049745208746754144
0.7924528301886793,0.6797385620915033,0.847980203317282,0.7846805342268137,EColi,4,3,spectral,96,136,1354,0.07090103397341212,0.112714268097176,0.06329966909046825
0.7924528301886793,0.6797385620915033,0.847980203317282,0.7846805342268137,EColi,4,3,spectral,128,136,1354,0.09453471196454949,0.112714268097176,0.06329966909046825
0.7924528301886793,0.6710526315789473,0.847980203317282,0.7789334077900321,EColi,4,3,spectral,136,136,1354,0.10044313146233383,0.12140019860973195,0.0690467955272499
0.0,0.0,0.5,0.5,EColi,4,3,random_live,1,136,1354,0.0007385524372230429,0.0,0.0
0.010810810810810811,0.02127659574468085,0.5002579683558817,0.4996742519428545,EColi,4,3,random_live,2,136,1354,0.0014771048744460858,-0.01046578493387004,0.0005837164130271799
0.06217616580310881,0.10101010101010101,0.5130274019720248,0.521650611940993,EColi,4,3,random_live,3,136,1354,0.0022156573116691287,-0.0388339352069922,-0.00862320996896826
0.06451612903225806,0.10752688172043011,0.5160035924482153,0.5277234864349202,EColi,4,3,random_live,4,136,1354,0.0029542097488921715,-0.043010752688172046,-0.011719893986704921
0.5693430656934306,0.5611510791366906,0.7114480623710159,0.7109800362976406,EColi,4,3,random_live,6,136,1354,0.004431314623338257,0.008191986556740027,0.0004680260733752606
0.5938566552901023,0.5850340136054422,0.7324772605671481,0.7299199590488157,EColi,4,3,random_live,8,136,1354,0.005908419497784343,0.008822641684660182,0.0025573015183324443
0.7044025157232704,0.6792452830188679,0.8027019796682717,0.7921262041044255,EColi,4,3,random_live,12,136,1354,0.008862629246676515,0.02515723270440251,0.010575775563846257
